ЄДРПОУ;Скорочена назва;Повна назва;Дата створення;Доступ;Підключена до НПА
42269168;Департамент молоді та спорту виконавчого органу Київської міської ради (Київської міської державної адміністрації);Департамент молоді та спорту виконавчого органу Київської міської ради (Київської міської державної адміністрації);06.07.2020;АСКОД ;Ні
42475311;Департамент охорони культурної спадщини виконавчого органу Київської міської ради (Київської міської державної адміністрації;Департамент охорони культурної спадщини виконавчого органу Київської міської ради (Київської міської державної адміністрації;06.07.2020;АСКОД ;Ні
42698051;Департамент муніципальної безпеки виконавчого органу Київської міської ради (Київської міської державної адміністрації);Департамент муніципальної безпеки виконавчого органу Київської міської ради (Київської міської державної адміністрації);06.07.2020;АСКОД ;Ні
02359662;ГУС у Волинській області;Головне управління статистики у Волинській області;03.07.2020;Megapolis.DocNet;Ні
38728376;"БДФ ДП ""АМПУ""";"Білгород-Дністровська філія державного підприємства ""Адміністрація морських портів України""";03.07.2020;"СЕД ""АМПУ"" версія 1.0";Ні
38728402;"Ізмаїльська філія ДП ""АМПУ"" (Адміністрація Ізмаїльського МП)";"Ізмаїльська філія державного підприємства ""АДМІНІСТРАЦІЯ МОРСЬКИХ ПОРТІВ УКРАЇНИ"" (АДМІНІСТРАЦІЯ ІЗМАЇЛЬСЬКОГО МОРСЬКОГО ПОРТУ)";03.07.2020;"СЕД ""АМПУ"" версія 1.0";Ні
38728418;"ЧФ ДП ""АМПУ""";"Державне підприємство ""Адміністрація морських портів України"" в особі Чорноморської філії Державного підприємства ""Адміністрація морських портів України"" (Адміністрація морського порту Чорноморськ)";03.07.2020;"СЕД ""АМПУ"" версія 1.0";Ні
02071228;УІПА;Українська інженерно-педагогічна академія;02.07.2020;Веб-доступ;Ні
02361892;Головне управління статистики у Полтавській області;Головне управління статистики у Полтавській області;02.07.2020;Megapolis.DocNet;Ні
03364062;Департамент ЖКГ Луганської ОДА;Департамент житлово-комунального господарства Луганської обласної державної адміністрації;02.07.2020;Веб-доступ;Ні
040513130;ЦНАП Ковельської міської ради;Управління Центр надання адміністративних послуг виконавчого комітету Ковельської міської ради;02.07.2020;ПК ЦНАП (Вулик);Ні
04060588;Ізяславська районна рада Хмельницької області;Ізяславська районна рада Хмельницької області;02.07.2020;Веб-доступ;Ні
04335594;Новопсковська селищна рада;Новопсковська селищна рада;02.07.2020;Веб-доступ;Ні
256599410;ЦНАП виконавчого комітету Іваньківської сільської ради;Відділ Центр надання адміністративних послуг виконавчого комітету Іваньківської сільської ради;02.07.2020;ПК ЦНАП (Вулик);Ні
263244150;ЦНАП Сагунівської сільської ради;Відділ Центр надання адміністративних послуг виконавчого комітету Сагунівської сільської ради;02.07.2020;ПК ЦНАП (Вулик);Ні
02125622;ЧНУ ім. Богдана Хмельницького;Черкаський національний університет імені Богдана Хмельницького;01.07.2020;Веб-доступ;Ні
043307920;Відділ ЦНАП Соболівської сільської ради;Відділ Центр надання адміністративних послуг виконавчого комітету Соболівської сільської ради;01.07.2020;ПК ЦНАП (Вулик);Ні
043322070;ЦНАП Боратинської сільської ради;Відділ Центр надання адміністративних послуг Боратинської сільської ради;01.07.2020;ПК ЦНАП (Вулик);Ні
043512740;Відділ ЦНАП Перечинської міської ради;Відділ Центр надання адміністративних послуг Перечинської міської ради;01.07.2020;ПК ЦНАП (Вулик);Ні
043861660;ЦНАП Деражненської сільської ради;Відділ Центр надання адміністративних послуг Деражненської сільської ради;01.07.2020;ПК ЦНАП (Вулик);Ні
044181620;ЦНАП Великокучурівської сільської ради;Центр надання адміністративних послуг як структурний підрозділ виконавчого комітету Великокучурівської сільської ради;01.07.2020;ПК ЦНАП (Вулик);Ні
05477296;Луцький НТУ;Луцький національний технічний університет ;01.07.2020;Веб-доступ;Ні
263478650;Відділ ЦНАП виконавчого комітету Музиківської сільської ради;Відділ Центр надання адміністративних послуг виконавчого комітету Музиківської сільської ради;01.07.2020;ПК ЦНАП (Вулик);Ні
38715482;Управління екології та природних ресурсів Черкаської обласної державної адміністрації;Управління екології та природних ресурсів Черкаської обласної державної адміністрації;01.07.2020;Веб-доступ;Ні
38728444;"МФ ДП ""АМПУ"" (адміністрація Миколаївського МП)";"Миколаївська філія державного підприємства ""Адміністрація морських портів України"" (адміністрація Миколаївського морського порту)";01.07.2020;"СЕД ""АМПУ"" версія 1.0";Ні
42149108;ДЕІ ЦЕНТРАЛЬНОГО ОКРУГУ;Державна екологічна інспекція Центрального округу;30.06.2020;ДОК ПРОФ;Ні
43724944;Департамент розвитку адміністративних послуг, соціальної, молодіжної політики та спорту Рівненської ОДА;Департамент розвитку адміністративних послуг, соціальної, молодіжної політики та спорту Рівненської обласної державної адміністрації;30.06.2020;Веб-доступ;Ні
01896702;НУОЗ України імені П.Л.Шупика;Національний університет охорони здоров'я України імені П.Л.Шупика;26.06.2020;Веб-доступ;Ні
02361400;ГУС у Львівській області;Головне управління статистики у Львівській області;26.06.2020;Megapolis.DocNet;Ні
04396685;Циркунівська сільська рада;Циркунівська сільська рада;26.06.2020;Веб-доступ;Ні
14099344;ГУ ПФУ в Харківській області;Головне управління Пенсійного фонду України в Харківській області;26.06.2020;"АСЕДО версія 2 (ТОВ ""МЕДИРЕНТ"")";Ні
34614292;"ДП ""Інформаційні судові системи""";"Державне підприємство ""Інформаційні судові системи""";26.06.2020;Megapolis.DocNet;Ні
02361417;Головне управління статистики у Миколаївській області;Головне управління статистики у Миколаївській області;25.06.2020;Megapolis.DocNet;Ні
02362061;ГУС у Рівненській області ;Головне управління статистики у Рівненській області ;25.06.2020;Megapolis.DocNet;Ні
02426097;"ДП ""ПРОЗОРРО""";"Державне підприємство ""ПРОЗОРРО""";25.06.2020;Megapolis.DocNet;Ні
37615846;АППК;"Асоціація ""Правовласників та постачальників контенту""";25.06.2020;Веб-доступ;Ні
04349550;КАМ’ЯНСЬКА СIЛЬСЬКА РАДА;КАМ’ЯНСЬКА СIЛЬСЬКА РАДА;24.06.2020;Веб-доступ;Ні
043614910;ЦНАП Дівичківської сільської ради;Відділ Центр надання адміністративних послуг виконавчого комітету Дівичківської сільської ради;24.06.2020;ПК ЦНАП (Вулик);Ні
04406934;Китайгородська с/р;Китайгородська сільська рада;24.06.2020;Веб-доступ;Ні
26323717;Червонослобідська сільська рада;Червонослобідська сільська рада Черкаської області;24.06.2020;Веб-доступ;Ні
02357999;Головне управління статистики у Черкаській області;Головне управління статистики у Черкаській області;23.06.2020;Megapolis.DocNet;Ні
43553128;ДАРТ;Державне агентство розвитку туризму України;22.06.2020;Megapolis.DocNet;Так
43672853;Міндовкілля;Міністерство захисту довкілля та природних ресурсів України;22.06.2020;Megapolis.DocNet;Так
04410918;Виконавчий комітет Руськополянської сільської ради ;Виконавчий комітет Руськополянської сільської ради ;19.06.2020;СЕВ СЕД;Ні
24713288;Світловодська районна рада;Світловодська районна рада Кіровоградської області;19.06.2020;Веб-доступ;Ні
26199097;Департамент земельних ресурсів виконавчого органу Київської міської ради (Київської міської державної адміністрації);Департамент земельних ресурсів виконавчого органу Київської міської ради (Київської міської державної адміністрації);19.06.2020;АСКОД ;Ні
02771598;Черкаський ОЦЗ;Черкаський обласний центр зайнятості;18.06.2020;Megapolis.DocNet;Ні
03491441;Миколаївський ОЦЗ;Миколаївський обласний центр зайнятості;18.06.2020;Megapolis.DocNet;Ні
13967927;ГУ ПФУ в Полтавській області;Головне управління Пенсійного фонду України в Полтавській області;18.06.2020;"АСЕДО версія 2 (ТОВ ""МЕДИРЕНТ"")";Ні
20406247;Новоград-Волинський МЦЗ;Новоград-Волинський міський центр зайнятості;18.06.2020;Megapolis.DocNet;Ні
25574009;Черкаський НДЕКЦ МВС;Черкаський науково-дослідний експертно-криміналістичний центр МВС України;18.06.2020;Megapolis.DocNet;Ні
25574222;Одеський НДЕКЦ МВС;Одеський науково-дослідний експертно-криміналістичний центр МВС України;18.06.2020;Megapolis.DocNet;Ні
25574728;Харківський НДЕКЦ МВС;Харківський науково-дослідний експертно-криміналістичний центр МВС України;18.06.2020;Megapolis.DocNet;Ні
25574883;Рівненський НДЕКЦ МВС;Рівненський науково-дослідний експертно-криміналістичний центр МВС України;18.06.2020;Megapolis.DocNet;Ні
25575078;Чернігівський НДЕКЦ МВС;Чернігівський науково-дослідний експертно-криміналістичний центр МВС України;18.06.2020;Megapolis.DocNet;Ні
40311343;Головне управління Держпродспоживслужби в Запорізькій області;Головне управління Держпродспоживслужби в Запорізькій області;18.06.2020;Megapolis.DocNet;Ні
02125639;УДПУ імені Павла Тичини;Уманський державний педагогічний університет імені Павла Тичини;17.06.2020;Веб-доступ;Ні
04052270;Криворізька РДА;Криворізька районна державна адміністрація;11.06.2020;ДОК ПРОФ;Ні
04053818;Рахівська райрада;Рахівська районна рада;11.06.2020;Веб-доступ;Ні
04399170;Курилівська сільська рада;Курилівська сільська рада Куп'янського району Харківської області;11.06.2020;Веб-доступ;Ні
22991050;ГШ ЗСУ;Генеральний штаб Збройних Сил України;11.06.2020;АСКОД ;Так
04361290;Великоснітинська сільрада;Великоснітинська сільська рада;10.06.2020;Веб-доступ;Ні
24507442;НЦУВКЗ;Національний центр управління та випробувань космічних засобів;10.06.2020;Megapolis.DocNet;Ні
25175462;Золочівська селищна рада;Золочівська селищна рада;10.06.2020;Веб-доступ;Ні
38259562;Координаційний центр з надання правової допомоги;Координаційний центр з надання правової допомоги;10.06.2020;АСКОД ;Ні
04057296;Виконавчий комітет Пирятинської міської рад;Виконавчий комітет Пирятинської міської ради;09.06.2020;АСКОД ;Так
40346926;ГУ ДПСС в Житомирській області;Головне управління Держпродспоживслужби в Житомирській області;09.06.2020;Megapolis.DocNet;Ні
40538421;"КП ""КИЇВТЕПЛОЕНЕРГО""";"Комунальне підприємство виконавчого органу Київради (Київської міської держаної адміністрації) ""КИЇВТЕПЛОЕНЕРГО""";09.06.2020;"e-Docs.Platform (ТОВ ""Е-ДОКС"")";Ні
13358826;ГУ ПФУ у Волинській області;ГОЛОВНЕ УПРАВЛІННЯ ПЕНСІЙНОГО ФОНДУ УКРАЇНИ У ВОЛИНСЬКІЙ ОБЛАСТІ;05.06.2020;"АСЕДО версія 2 (ТОВ ""МЕДИРЕНТ"")";Ні
22933548;ГУ ПФУ у Київській області;Головне управління Пенсійного фонду України у Київській області;05.06.2020;"АСЕДО версія 2 (ТОВ ""МЕДИРЕНТ"")";Ні
02214225;ЛНМА ім. М.В. Лисенка;Львівська національна музична академія імені М.В. Лисенка;04.06.2020;Веб-доступ;Ні
13844159;ГУ ПФУ в Миколаївській області;Головне управління Пенсійного фонду України в Миколаївській області;04.06.2020;"АСЕДО версія 2 (ТОВ ""МЕДИРЕНТ"")";Ні
40927307;НАЗЯВО;Національне агентство із забезпечення якості вищої освіти;03.06.2020;АСКОД ;Ні
02066769;ХАІ;"Національний аерокосмічний університет ім. М .Є.Жуковського ""Харківський авіаційний інститут""";02.06.2020;Веб-доступ;Ні
02125295;НПУ імені М. П. Драгоманова;Національний педагогічний університет імені Михайла Петровича Драгоманова;02.06.2020;Веб-доступ;Ні
04056842;Березівська міська рада Одеської області ;Березівська міська рада Одеської області ;02.06.2020;Веб-доступ;Ні
04357450;Більшівцівська селищна рада ОТГ;Більшівцівська селищна рада об'єднаної територіальної громади;02.06.2020;Веб-доступ;Ні
37977693;Державна екологічна інспекція у Тернопільській області;Державна екологічна інспекція у Тернопільській області;02.06.2020;ДОК ПРОФ;Ні
38053846;ДЕІ у Чернігівській області;Державна екологічна інспекція у Чернігівській області;02.06.2020;ДОК ПРОФ;Ні
43316386;Південно-Західне міжрегіональне управління Міністерства юстиції (м. Івано-Франківськ);Південно-Західне міжрегіональне управління Міністерства юстиції (м. Івано-Франківськ);02.06.2020;ДОК ПРОФ;Ні
040621330;ЦНАП Заставнівської районної державної адміністрації;Центр надання адміністративних послуг та державної реєстрації Заставнівської районної державної адміністрації;01.06.2020;ПК ЦНАП (Вулик);Ні
26261442;Дмитрушківська сільська рада;Дмитрушківська сільська рада Уманського району Черкаської області;01.06.2020;Веб-доступ;Ні
37821586;УДМС України у Волинській області;Управління Державної міграційної служби України у Волинській області;29.05.2020;Megapolis.DocNet;Ні
40309748;ГУ ДПСС в Рівненській області;Головне управління Держпродспоживслужби в Рівненській області;29.05.2020;Megapolis.DocNet;Ні
043906240;ЦНАП Березівської сільської ради;Центр надання адміністративних послуг Березівської сільської ради;28.05.2020;ПК ЦНАП (Вулик);Ні
14321819;В/ч 2193;Військова частина 2193;28.05.2020;Веб-доступ;Ні
21782461;ГУ ПФУ в Луганській області;Головне управління Пенсійного фонду України в Луганській області;28.05.2020;"АСЕДО версія 2 (ТОВ ""МЕДИРЕНТ"")";Ні
03072626;КФВС МОН;Комітет з фізичного виховання та спорту Міністерства освіти і науки України;26.05.2020;Веб-доступ;Ні
04350168;Оноківська сільська рада;Оноківська сільська рада Ужгородського району Закарпатської області;26.05.2020;Веб-доступ;Ні
13559341;ГУ ПФУ в Житомирській області ;Головне управління Пенсійного фонду України в Житомирській області ;26.05.2020;"АСЕДО версія 2 (ТОВ ""МЕДИРЕНТ"")";Ні
14321920;Одеський військово-медичний клінічний центр (клінічний госпіталь) Державної прикордонної служби України (Військова частина 2524);Одеський військово-медичний клінічний центр (клінічний госпіталь) Державної прикордонної служби України (Військова частина 2524);26.05.2020;Веб-доступ;Ні
01127777;ОНМУ;Одеський національний морський університет;25.05.2020;Веб-доступ;Ні
043501680;ЦНАП Оноківської сільської ради;"Відділ ""Центр надання адміністративних послуг"" Оноківської сільської ради";25.05.2020;ПК ЦНАП (Вулик);Ні
043516180;ЦНАП Вільховецької сільської ради;"Відділ ""Центр надання адміністративних послуг"" Вільховецької сільської ради Тячівського району Закарпатської області";25.05.2020;ПК ЦНАП (Вулик);Ні
04394898;Біщівська сільська рада;Біщівська сільська рада;25.05.2020;СЕВ СЕД;Ні
23311286;В/ч 1490;Військова частина 1490;25.05.2020;Веб-доступ;Ні
23311346;Військова частина 1496;Мобільний прикордонний загін Державної прикордонної служби України (військова частина 1496);25.05.2020;Веб-доступ;Ні
34386547;"ВСП ""Старобільський фаховий коледж ЛНАУ""";"Відокремлений структурний підрозділ ""Старобільський фаховий коледж Луганського національного аграрного університету""";21.05.2020;Веб-доступ;Ні
42505644;"ДУ ""ОСНАД""";"Державна установа ""Орган суспільного нагляду за аудиторською діяльністю""";21.05.2020;АСКОД ;Ні
02141265;Управління освіти і науки ЧОДА; УПРАВЛІННЯ ОСВІТИ І НАУКИ ЧЕРКАСЬКОЇ ОБЛ. ДЕРЖАВ. АДМІНІСТРАЦІЇ;20.05.2020;Веб-доступ;Ні
03150102;"ДП ""Укрводшлях""";"Державне підприємство водних шляхів ""Укрводшлях""";15.05.2020;Веб-доступ;Ні
24524727;Тернопільський НДЕКЦ МВС;Тернопільський науково-дослідний експертно-криміналістичний центр МВС України;15.05.2020;Megapolis.DocNet;Ні
24525055;Вінницький науково-дослідний експертно-криміналістичний центр МВС України;Вінницький науково-дослідний експертно-криміналістичний центр МВС України;15.05.2020;Megapolis.DocNet;Ні
25574067;Полтавський НДЕКЦ МВС;Полтавський науково-дослідний експертно-криміналістичний центр МВС України;15.05.2020;Megapolis.DocNet;Ні
25574305;Луганський НДЕКЦ МВС;Луганський науково-дослідний експертно-криміналістичний центр МВС України;15.05.2020;Megapolis.DocNet;Ні
25574601;Житомирський НДЕКЦ МВС;Житомирський науково-дослідний експертно-криміналістичний центр МВС України;15.05.2020;Megapolis.DocNet;Ні
25574765;Івано-Франківський НДЕКЦ МВС;Івано-Франківський науково-дослідний експертно-криміналістичний центр МВС України;15.05.2020;Megapolis.DocNet;Ні
25574892;Сумський НДЕКЦ МВС;Сумський науково-дослідний експертно-криміналістичний центр МВС України;15.05.2020;Megapolis.DocNet;Ні
25574908;Волинський НДЕКЦ МВС;Волинський науково-дослідний експертно-криміналістичний центр МВС України;15.05.2020;Megapolis.DocNet;Ні
25574914;Донецький НДЕКЦ МВС України;Донецький науково-дослідний експертно-криміналістичний центр МВС України;15.05.2020;Megapolis.DocNet;Ні
25575003;Кіровоградський НДЕКЦ МВС;Кіровоградський науково-дослідний експертно-криміналістичний центр МВС України;15.05.2020;Megapolis.DocNet;Ні
25575055;Дніпропетровський НДЕКЦ МВС;Дніпропетровський науково-дослідний експерно-криміналистичний центр МВС України;15.05.2020;Megapolis.DocNet;Ні
25575144;Закарпатський НДЕКЦ МВС;Закарпатський науково-дослідний експертно-криміналистичний центр МВС;15.05.2020;Megapolis.DocNet;Ні
25575150;Львівський НДЕКЦ МВС;Львівський науково-дослідний експертно-криміналістичний центр МВС України;15.05.2020;Megapolis.DocNet;Ні
30370711;"ПАТ ""НДУ""";"Публічне акціонерне товариство ""Національний депозитарій України""";15.05.2020;Веб-доступ;Ні
21656169;Апарат РНБОУ;Апарат Ради національної безпеки і оборони України;14.05.2020;ДОК ПРОФ;Ні
43206931;РУМО АДПСУ;Регіональне управління Морської охорони Адміністрації Державної прикордонної служби України;14.05.2020;Веб-доступ;Ні
040533700;ЦНАП Овруцької міської ради;Відділ Центр надання адміністративних послуг виконкому Овруцької міської ради;13.05.2020;ПК ЦНАП (Вулик);Ні
043928530;ЦНАП Трибухівської сільської ради;"Відділ ""Центр надання адміністративних послуг"" Трибухівської сільської ради";13.05.2020;ПК ЦНАП (Вулик);Ні
044123540;ЦНАП Батуринської міської ради;Відділ Центр надання адміністративних послуг Батуринської міської ради;13.05.2020;ПК ЦНАП (Вулик);Ні
34478150;Секретаріат Національної ради;Секретаріат Національної тристоронньої соціально-економічної ради;13.05.2020;Веб-доступ;Ні
23311375;Військова частина 2451 Р;Військова частина 2451 Р;12.05.2020;Веб-доступ;Ні
00488332;УІЕСР;Український інститут експертизи сортів рослин;07.05.2020;АСКОД ;Ні
14321558;В/ч 9935;Військова частина 9935;07.05.2020;Веб-доступ;Ні
14321736;ВЧ 9938;ВІЙСЬКОВА ЧАСТИНА 9938 ДЕРЖАВНОЇ ПРИКОРДОННОЇ СЛУЖБИ УКРАЇНИ;07.05.2020;Веб-доступ;Ні
14321825;В/ч 2196;Військова частина 2196 Державної прикордонної служби України;07.05.2020;Веб-доступ;Ні
14321908;В/ч 9997;Військова частина 9997;07.05.2020;Веб-доступ;Ні
32320594;"ДП ""Первомайськвугілля""";"Державне підприємство ""Первомайськвугілля""";07.05.2020;Веб-доступ;Ні
41884537;"ТОВ ""Енера Суми""";"Товариство з обмеженою відповідальністю ""Енера Суми""";07.05.2020;Megapolis.DocNet;Ні
25435963;Закарпатська обласна рада;Закарпатська обласна рада;06.05.2020;FossDoc Enterprize;Ні
38728439;"Маріупольська філія ДП ""АМПУ""";"Маріупольська філія Державного підприємства ""Адміністрація морських портів України"" (Адміністрація Маріупольського морського порту)";06.05.2020;"СЕД ""АМПУ"" версія 1.0";Ні
38728457;"ОФ ДП ""АМПУ""";"Одеська філія Державного підприємства ""Адміністрація морських портів України"" (адміністрація Одеського морського порту)";06.05.2020;"СЕД ""АМПУ"" версія 1.0";Ні
40342220;Головне управління Держпродспоживслужби в Кіровоградській області;Головне управління Держпродспоживслужби в Кіровоградській області;06.05.2020;Megapolis.DocNet;Ні
14321653;в/ч 2144;Військова частина 2144;05.05.2020;Веб-доступ;Ні
14321765;в/ч 2253;Військова частина 2253;05.05.2020;Веб-доступ;Ні
20695033;Поліклініка ДПСУ;Поліклініка Державної прикордонної служби України;05.05.2020;Веб-доступ;Ні
34239034;" ДП ""Інфотех""";"Державне підприємство ""Інфотех""";05.05.2020;Веб-доступ;Так
02360464;ГУС у Закарпатській області;Головне управління статистики у Закарпатській  області;04.05.2020;Megapolis.DocNet;Ні
13352315;Луцький МЦЗ;Луцький міський центр зайнятості;04.05.2020;Megapolis.DocNet;Ні
14321955;в/ч 1498;ВІЙСЬКОВА ЧАСТИНА 1498;04.05.2020;Веб-доступ;Ні
23311659;"Санаторій ""Моршин-Прикордонник"" (військова частина 1565)";"Санаторій ""Моршин-Прикордонник"" (військова частина 1565) Державної прикордонної служби України";04.05.2020;Веб-доступ;Ні
37979894;Державна екологічна інспекція у Вінницькій області;Державна екологічна інспекція у Вінницькій області;04.05.2020;ДОК ПРОФ;Ні
40170117;Верхнянська сільска рада ОТГ;Верхнянська сільська рада об'єднаної територіальної громади Калуського району Івано-Франківської області;04.05.2020;Веб-доступ;Ні
02360412;Головне управління статистики у Житомирській області;Головне управління статистики у Житомирській області;30.04.2020;Megapolis.DocNet;Ні
14321469;ВІЙСЬКОВА ЧАСТИНА 2428;ВІЙСЬКОВА ЧАСТИНА 2428;30.04.2020;Megapolis.DocNet;Ні
14321707;Військова частина 1493;Державна організація (установа, заклад) військова частина 1493;30.04.2020;Веб-доступ;Ні
14321794;Військова частина 1467;Військова частина 1467;30.04.2020;Веб-доступ;Ні
14321860;Військова частина 1474;Військова частина 1474;30.04.2020;Веб-доступ;Ні
31517060;"ДП ""УКРХІМТРАНСАМІАК""";"ДЕРЖАВНЕ ПІДПРИЄМСТВО ""УКРХІМТРАНСАМІАК""";30.04.2020;Megapolis.DocNet;Ні
02360731;Головне управління статистики у Київській області;Головне управління статистики у Київській області;29.04.2020;Megapolis.DocNet;Ні
02010681;ДДМУ;Дніпровський державний медичний університет;28.04.2020;Веб-доступ;Ні
14321512;ГЦ ПОС ДПСУ ім. ген. м-ра І. Момота (в/ч 9930);Головний центр підготовки особового складу Державної прикордонної служби України імені генерал-майора Ігоря Момота (військова частина 9930);28.04.2020;Веб-доступ;Ні
14321647;Західне регіональне управління ДПСУ;Західне регіональне управління Державної прикордонної служби України;28.04.2020;Веб-доступ;Ні
02359395;Головне управління статистики у Вінницькій області;Головне управління статистики у Вінницькій області;27.04.2020;Megapolis.DocNet;Ні
14321742;Військова частина 9951;Військова частина 9951;24.04.2020;Веб-доступ;Ні
14321831;В/ч 2197;Військова частина 2197;24.04.2020;Веб-доступ;Ні
14321937;Східне регіональне управління ДПСУ;Східне регіональне управління Державної прикордонної служби України;24.04.2020;Веб-доступ;Ні
23311530;Військова частина 1471;Військова частина 1471;24.04.2020;Веб-доступ;Ні
14321481;НАДПСУ;Національна академія Державної прикордонної служби України імені Богдана Хмельницького;23.04.2020;Веб-доступ;Ні
14321630;"Санаторій ""Прикордонник-Немирів"" (Військова частина 1487)";"Санаторій ""Прикордонник-Немирів"" (військова частина 1487) ДПСУ";23.04.2020;Веб-доступ;Ні
14321802;Військова частина 1469;Південне регіональне управління Державної прикордонної служби України (військова частина 1469);23.04.2020;Веб-доступ;Ні
23311292;Військова частина 1485;Військова частина 1485;23.04.2020;Веб-доступ;Ні
42769539;Регіональне відділення Фонду державного майна України по Полтавській та Сумській областях;Регіональне відділення Фонду державного майна України по Полтавській та Сумській областях;23.04.2020;Веб-доступ;Ні
14321676;Військова частина 2142;Державна організація (установа, заклад) військова частина 2142;22.04.2020;Веб-доступ;Ні
14321682;Військова частина 2195;Військова частина 2195;22.04.2020;Веб-доступ;Ні
14321759;В/ч 9953;Військова частина 9953;22.04.2020;Веб-доступ;Ні
14321771;Львівський військово-медичний клінічний центр (клінічний госпіталь) Державної прикордонної служби України;Львівський військово-медичний клінічний центр (клінічний госпіталь) Державної прикордонної служби України;22.04.2020;Веб-доступ;Ні
14321848;В/ч 1491;Військова частина 1491;22.04.2020;Веб-доступ;Ні
14321883;В/ч 2382;Військова частина 2382;22.04.2020;Веб-доступ;Ні
43331273;Військова частина 1560;Ізмаїльський загін морської охорони Державної прикордонної служби України;22.04.2020;Веб-доступ;Ні
26323522;Лип'янська с/р;Лип'янська сільська рада;21.04.2020;Веб-доступ;Ні
05480298;ХНТУ;Херсонський національний технічний університет;17.04.2020;Веб-доступ;Ні
43173325;РВ ФДМУ в Київській, Черкаській та Чернігівській областях;Регіональне відділення Фонду державного майна України в Київській, Черкаській та Чернігівській областях;17.04.2020;Веб-доступ;Ні
14321498;КНЦ (в/ч 2418);Кінологічний навчальний центр Державної прикордонної служби України (військова частина 2418);16.04.2020;Веб-доступ;Ні
14321661;в/ч 9971;Військова частина 9971;16.04.2020;Веб-доступ;Ні
14321726;в/ч 9937;Військова частина 9937;16.04.2020;Веб-доступ;Ні
43315529;Південне міжрегіональне управління Міністерства юстиції (м. Одеса);Південне міжрегіональне управління Міністерства юстиції (м. Одеса);16.04.2020;Megapolis.DocNet;Ні
14321386;В/ч 2138;Військова частина 2138;14.04.2020;Веб-доступ;Ні
14321541;Маріупольскій загін Морської охорони Військова частина 1472;Державна Прикордонна служба України. Регіональне управління морської Державної служби України;14.04.2020;Веб-доступ;Ні
14321914;В/ч 1495;Військова частина 1495;14.04.2020;Веб-доступ;Ні
43395033;ДП «ДІЯ»;Державне підприємство «ДІЯ»;13.04.2020;АСКОД ;Ні
02125544;ТНПУ ім. Володимира Гнатюка;Тернопільський національний педагогічний університет імені Володимира Гнатюка;10.04.2020;Веб-доступ;Ні
04060826;Виконавчій комітет Жашківської міської ради;Виконавчій комітет Жашківської міської ради;10.04.2020;Веб-доступ;Ні
14321378;В/ч 2161;Військова частина 2161 Державної прикордонної служби України;10.04.2020;Веб-доступ;Ні
14321475;"ОКПП ""Київ""";Військова частина 1492;10.04.2020;Megapolis.DocNet;Ні
212278830;ЦНАП м. Чугуєва;Відділ надання адміністративних послуг Чугуївської міської ради;10.04.2020;ПК ЦНАП (Вулик);Ні
37991372;ДЕІ у Луганській області;Державна екологічна інспекція у Луганській області;10.04.2020;ДОК ПРОФ;Ні
38009738;Державна екологічна інспекція у Волинській області;Державна екологічна інспекція у Волинській області;10.04.2020;ДОК ПРОФ;Ні
38015668;Державна екологічна інспекція у Закарпатській області;Державна екологічна інспекція у Закарпатській області;10.04.2020;ДОК ПРОФ;Ні
38057086;Державна екологічна інспекція у Львівській області;Державна екологічна інспекція у Львівській області;10.04.2020;ДОК ПРОФ;Ні
42702233;Державна екологічна інспекція Карпатського округу;Державна екологічна інспекція Карпатського округу;10.04.2020;ДОК ПРОФ;Ні
02010936;НФАУ;Національний фармацевтичний університет;08.04.2020;Веб-доступ;Ні
42956062;РВ ФДМУ по Рівненській та Житомирській областях;РВ ФДМ УКРАЇНИ ПО РІВНЕНСЬКІЙ ТА ЖИТОМИРСЬКІЙ ОБЛАСТІ;07.04.2020;Веб-доступ;Ні
03494563;Державний архів Луганської області;Державний архів Луганської області;06.04.2020;АСКОД ;Ні
41449317;ВІЙСЬКОВА ЧАСТИНА 1484;ВІЙСЬКОВА ЧАСТИНА 1484;06.04.2020;Megapolis.DocNet;Ні
02070938;НУХТ;Національний університет харчових технологій;03.04.2020;Веб-доступ;Ні
05427482;Волинський обласний центр зайнятості;Волинський обласний центр зайнятості;03.04.2020;Megapolis.DocNet;Ні
05430879;Рівненський обласний центр зайнятості;Рівненський обласний центр зайнятості;03.04.2020;Megapolis.DocNet;Ні
36947982;ДЦКЗ Держспецзв'язку;Державний центр кіберзахисту Державної служби спеціального зв'язку та захисту інформації України;03.04.2020;Веб-доступ;Ні
40109110;ДПО;Департамент поліції охорони;03.04.2020;Веб-доступ;Ні
43015722;РВ ФДМУ по Одеській та Миколаївській областях;Регіональне відділення Фонду державного майна України по Одеській та Миколаївській областях;03.04.2020;Веб-доступ;Ні
13561251;Житомирський міський центр зайнятості;Житомирський міський центр зайнятості;02.04.2020;Megapolis.DocNet;Ні
22050056;Коростенський МЦЗ;Коростенський міський центр зайнятості;02.04.2020;Megapolis.DocNet;Ні
38728507;"Філія ""Дельта-лоцман"" ДП ""АМПУ""";"Філія ""Дельта-лоцман"" Державного підприємства ""Адміністрація морських портів України""";02.04.2020;"СЕД ""АМПУ"" версія 1.0";Ні
